HCPCS,MOD,DESCRIPTION,STATUS CODE,PAYMENT,RVU,PE RVU,INDICATOR,PE RVU,INDICATOR,RVU,TOTAL,TOTAL,IND,DAYS,OP,OP,OP,PROC,SURG,SURG,SURG,SURG,BASE,FACTOR,PROCEDURES,FLAG,INDICATOR,AMOUNT,AMOUNT,AMOUNT
S5000,,"Prescription drug, generic",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5001,,"Prescription drug,brand name",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5010,,5% dextrose and 0.45% saline,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5012,,5% dextrose with potassium,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5013,,5%dextrose/0.45%saline1000ml,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5014,,D5w/0.45ns w kcl and mgs04,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5035,,Hit routine device maint,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5036,,Hit device repair,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5100,,Adult daycare services 15min,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5101,,Adult day care per half day,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5102,,Adult day care per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5105,,Centerbased day care perdiem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5108,,Homecare train pt 15 min,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5109,,Homecare train pt session,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5110,,Family homecare training 15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5111,,Family homecare train/sessio,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5115,,Nonfamily homecare train/15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5116,,Nonfamily hc train/session,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5120,,Chore services per 15 min,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5121,,Chore services per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5125,,Attendant care service /15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5126,,Attendant care service /diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5130,,Homaker service nos per 15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5131,,Homemaker service nos /diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5135,,Adult companioncare per 15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5136,,Adult companioncare per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5140,,Adult foster care per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5141,,Adult foster care per month,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5145,,Child fostercare th per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5146,,Ther fostercare child /month,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5150,,Unskilled respite care /15m,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5151,,Unskilled respitecare /diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5160,,Emer response sys instal&tst,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5161,,Emer rspns sys serv permonth,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5162,,Emer rspns system purchase,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5165,,Home modifications per serv,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5170,,Homedelivered prepared meal,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5175,,"Laundry serv,ext,prof,/order",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5180,,Hh respiratory thrpy in eval,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5181,,Hh respiratory thrpy nos/day,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5185,,Med reminder serv per month,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5190,,Wellness assessment by nonph,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5199,,Personal care item nos each,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5497,,Hit cath care noc,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5498,,Hit simple cath care,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5501,,Hit complex cath care,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5502,,Hit interim cath care,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5517,,Hit declotting kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5518,,Hit cath repair kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5520,,Hit picc insert kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5521,,Hit midline cath insert kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5522,,Hit picc insert no supp,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5523,,Hip midline cath insert kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5550,,Insulin rapid 5 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5551,,Insulin most rapid 5 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5552,,Insulin intermed 5 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5553,,Insulin long acting 5 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5560,,Insulin reuse pen 1.5 ml,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5561,,Insulin reuse pen 3 ml,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5565,,Insulin cartridge 150 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5566,,Insulin cartridge 300 u,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5570,,Insulin dispos pen 1.5 ml,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S5571,,Insulin dispos pen 3 ml,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8030,,Tantalum ring application,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8035,,Magnetic source imaging,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8037,,Mrcp,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8040,,Topographic brain mapping,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8042,,Mri low field,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8055,,Us guidance fetal reduct,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8080,,Scintimammography,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8085,,Fluorine-18 fluorodeoxygluco,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8092,,Electron beam computed tomog,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8096,,Portable peak flow meter,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8097,,Asthma kit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8100,,Spacer without mask,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8101,,Spacer with mask,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8110,,Peak expiratory flow rate (p,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8120,,O2 contents gas cubic ft,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8121,,O2 contents liquid lb,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8130,,Interferential stim 2 chan,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8131,,Interferential stim 4 chan,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8185,,Flutter device,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8186,,Swivel adaptor,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8189,,Trach supply noc,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8210,,Mucus trap,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8265,,Haberman feeder,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8270,,Enuresis alarm,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8301,,Infect control supplies nos,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8415,,Supplies for home delivery,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8420,,Custom gradient sleev/glov,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8421,,Ready gradient sleev/glov,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8422,,Custom grad sleeve med,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8423,,Custom grad sleeve heavy,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8424,,Ready gradient sleeve,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8425,,Custom grad glove med,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8426,,Custom grad glove heavy,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8427,,Ready gradient glove,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8428,,Ready gradient gauntlet,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8429,,Gradient pressure wrap,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8430,,Padding for comprssn bdg,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8431,,Compression bandage,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8450,,Splint digit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8451,,Splint wrist or ankle,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8452,,Splint elbow,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8460,,Camisole post-mast,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8490,,100 insulin syringes,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8930,,Auricular electrostimulation,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8940,,Hippotherapy per session,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8948,,Low-level laser trmt 15 min,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8950,,"Complex lymphedema therapy,",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8990,,Pt or manip for maint,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S8999,,Resuscitation bag,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9001,,Home uterine monitor with or,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9007,,Ultrafiltration monitor,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9024,,Paranasal sinus ultrasound,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9025,,Omnicardiogram/cardiointegra,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9034,,Eswl for gallstones,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9055,,Procuren or other growth fac,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9056,,Coma stimulation per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9061,,Medical supplies and equipme,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9083,,Urgent care center global,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9088,,Services provided in urgent,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9090,,Vertebral axial decompressio,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9097,,Home visit wound care,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9098,,Home phototherapy visit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9110,,Telemonitoring/home per mnth,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9117,,Back school visit,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9122,,Home health aide or certifie,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9123,,Nursing care in home rn,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9124,,"Nursing care, in the home; b",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9125,,"Respite care, in the home, p",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9126,,"Hospice care, in the home, p",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9127,,"Social work visit, in the ho",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9128,,"Speech therapy, in the home,",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9129,,"Occupational therapy, in the",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9131,,Pt in the home per diem,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9140,,"Diabetic management program,",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9141,,"Diabetic management program,",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9145,,Insulin pump initiation,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9150,,Evaluation by ocularist,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9152,,"Speech therapy, re-eval",I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
S9208,,Home mgmt preterm labor,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,34.6062,09,0,99,0.00,0.00,0.00
